"id","week_number","day_of_week","reading_title","reading_type","completed","completed_at"
"c1765ff3-bffd-4722-987c-fb41dbf44bdd","51",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
"c19a7c28-12f0-4c9d-a8dd-c98fe16852fb","50",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
"c1e9c0b2-2894-4fa0-98c3-738b67628e5f","21","1","1 Samuel 16-18","daily_reading","false",
"c283b94e-0dbe-464d-bda6-bba475a60a14","3","3","Genesis 21-22","daily_reading","false",
"c4352205-4061-462b-a741-5c5da2c250c6","40","2","Song of Solomon 4-6","daily_reading","false",
"c4dc1751-e7f4-418d-82b4-ba4663579fbd","45","3","Jeremiah 7-9","daily_reading","false",
"c53fb84a-e8f1-4927-a6e1-45600e5f71e1","35",,"Memory: Psalm 139:13-18","memory_verse","false",
"c54c6701-ebc8-40aa-a254-04bd0a790568","20",,"Memory: Psalm 23:4-6","memory_verse","false",
"c59a8091-facd-487e-a5b5-55adaa997b86","30","4","Psalm 55-57","daily_reading","false",
"c7a585c7-2ce5-4996-9409-5cdbfb7f339c","6","3","Exodus 2-3","daily_reading","false",
"c7e9d7e2-14dc-4db6-8b17-e922d74c1124","39",,"Memory: Psalm 139:13-18","memory_verse","false",
"c854b833-dea2-4362-b6d0-568e9f582657","43","4","Isaiah 46-48","daily_reading","false",
"c8edbbdd-a83f-46e4-9295-a9759bfb8966","19","1","Judges 13-15","daily_reading","false",
"c9eefd17-ac7e-4618-9990-8a0735c81a7e","19","4","Ruth 1-2","daily_reading","false",
"cadaaf43-f69b-4742-b456-50da6ada0c7d","3",,"Memory: Psalm 23:1-3","memory_verse","false",
"cb3185d6-2c79-4069-90d8-8648c7b379c9","31","5","Psalm 73-75","daily_reading","false",
"cba79cd1-a13c-4eaa-8786-1a21cc879266","28","4","Psalm 25-27","daily_reading","false",
"cbffce11-af4a-4c20-8bea-58f5b40b39ac","4","2","Genesis 28","daily_reading","false",
"cc5dfd61-9ed8-45f7-b50c-eb34deedf124","6","5","Exodus 7-8","daily_reading","false",
"cc5f99b0-b623-4136-8692-93f246941ecd","11","1","Leviticus 13-15","daily_reading","false",
"cd90bf9e-e84c-4d8f-b61f-ceb102b13d30","45",,"Memory: Psalm 139:19-24","memory_verse","false",
"ce731ff1-5c51-4e38-9fc7-5344908aa870","9",,"Memory: Psalm 23:1-3","memory_verse","false",
"cf5b7d45-29ed-4f2c-85fc-c797e898c33a","45","5","Jeremiah 13-15","daily_reading","false",
"cf64b58c-f6fd-401d-bf8d-4f1a909092c5","6","2","Genesis 50–Exodus 1","daily_reading","false",
"cfac757d-74e1-4c9b-b6b4-fcdb0c23c5dc","22","4","2 Samuel 10-12","daily_reading","false",
"cffe2193-4847-4622-a3d8-e75985b2aad6","5","3","Genesis 42-43","daily_reading","false",
"d0cd9819-a9a8-4386-9d09-f04405066556","13","3","Numbers 22-24","daily_reading","false",
"d1e3c577-2e8f-40e3-9e53-19a051638deb","33","1","Psalm 91-93","daily_reading","false",
"d3ade2ea-e4f7-4fe5-bd43-101c8ec4b4fc","4","1","Genesis 27","daily_reading","false",
"d3ff4be9-b69b-4e23-9cbe-a3632c31ac62","46",,"Memory: 1 Corinthians 13:4-8a","memory_verse","false",
